,Date,CO2
0,1960-01-01,316.43
1,1960-02-01,316.98
2,1960-03-01,317.58
3,1960-04-01,319.03
4,1960-05-01,320.04
5,1960-06-01,319.59
6,1960-07-01,318.18
7,1960-08-01,315.9
8,1960-09-01,314.17
9,1960-10-01,313.83
10,1960-11-01,315.0
11,1960-12-01,316.19
12,1961-01-01,316.89
13,1961-02-01,317.7
14,1961-03-01,318.54
15,1961-04-01,319.48
16,1961-05-01,320.58
17,1961-06-01,319.77
18,1961-07-01,318.57
19,1961-08-01,316.79
20,1961-09-01,314.99
21,1961-10-01,315.31
22,1961-11-01,316.1
23,1961-12-01,317.01
24,1962-01-01,317.94
25,1962-02-01,318.55
26,1962-03-01,319.68
27,1962-04-01,320.57
28,1962-05-01,321.02
29,1962-06-01,320.62
30,1962-07-01,319.61
31,1962-08-01,317.4
32,1962-09-01,316.25
33,1962-10-01,315.42
34,1962-11-01,316.69
35,1962-12-01,317.7
36,1963-01-01,318.74
37,1963-02-01,319.07
38,1963-03-01,319.86
39,1963-04-01,321.38
40,1963-05-01,322.25
41,1963-06-01,321.48
42,1963-07-01,319.74
43,1963-08-01,317.77
44,1963-09-01,316.21
45,1963-10-01,315.99
46,1963-11-01,317.07
47,1963-12-01,318.35
48,1964-01-01,319.57
49,1964-02-01,320.01
50,1964-03-01,320.74
51,1964-04-01,321.84
52,1964-05-01,322.26
53,1964-06-01,321.89
54,1964-07-01,320.44
55,1964-08-01,318.69
56,1964-09-01,316.7
57,1964-10-01,316.87
58,1964-11-01,317.68
59,1964-12-01,318.71
60,1965-01-01,319.44
61,1965-02-01,320.44
62,1965-03-01,320.89
63,1965-04-01,322.14
64,1965-05-01,322.17
65,1965-06-01,321.87
66,1965-07-01,321.21
67,1965-08-01,318.87
68,1965-09-01,317.81
69,1965-10-01,317.3
70,1965-11-01,318.87
71,1965-12-01,319.42
72,1966-01-01,320.62
73,1966-02-01,321.6
74,1966-03-01,322.39
75,1966-04-01,323.7
76,1966-05-01,324.08
77,1966-06-01,323.75
78,1966-07-01,322.38
79,1966-08-01,320.36
80,1966-09-01,318.64
81,1966-10-01,318.1
82,1966-11-01,319.78
83,1966-12-01,321.03
84,1967-01-01,322.33
85,1967-02-01,322.5
86,1967-03-01,323.04
87,1967-04-01,324.42
88,1967-05-01,325.0
89,1967-06-01,324.09
90,1967-07-01,322.54
91,1967-08-01,320.92
92,1967-09-01,319.25
93,1967-10-01,319.39
94,1967-11-01,320.73
95,1967-12-01,321.96
96,1968-01-01,322.57
97,1968-02-01,323.15
98,1968-03-01,323.89
99,1968-04-01,325.02
100,1968-05-01,325.57
101,1968-06-01,325.36
102,1968-07-01,324.14
103,1968-08-01,322.11
104,1968-09-01,320.33
105,1968-10-01,320.25
106,1968-11-01,321.32
107,1968-12-01,322.89
108,1969-01-01,324.0
109,1969-02-01,324.42
110,1969-03-01,325.63
111,1969-04-01,326.66
112,1969-05-01,327.38
113,1969-06-01,326.71
114,1969-07-01,325.88
115,1969-08-01,323.66
116,1969-09-01,322.38
117,1969-10-01,321.78
118,1969-11-01,322.86
119,1969-12-01,324.12
120,1970-01-01,325.06
121,1970-02-01,325.98
122,1970-03-01,326.93
123,1970-04-01,328.13
124,1970-05-01,328.08
125,1970-06-01,327.67
126,1970-07-01,326.34
127,1970-08-01,324.69
128,1970-09-01,323.1
129,1970-10-01,323.06
130,1970-11-01,324.01
131,1970-12-01,325.13
132,1971-01-01,326.17
133,1971-02-01,326.68
134,1971-03-01,327.17
135,1971-04-01,327.79
136,1971-05-01,328.93
137,1971-06-01,328.57
138,1971-07-01,327.36
139,1971-08-01,325.43
140,1971-09-01,323.36
141,1971-10-01,323.56
142,1971-11-01,324.8
143,1971-12-01,326.01
144,1972-01-01,326.77
145,1972-02-01,327.63
146,1972-03-01,327.75
147,1972-04-01,329.72
148,1972-05-01,330.07
149,1972-06-01,329.09
150,1972-07-01,328.04
151,1972-08-01,326.32
152,1972-09-01,324.84
153,1972-10-01,325.2
154,1972-11-01,326.5
155,1972-12-01,327.55
156,1973-01-01,328.55
157,1973-02-01,329.56
158,1973-03-01,330.3
159,1973-04-01,331.5
160,1973-05-01,332.48
161,1973-06-01,332.07
162,1973-07-01,330.87
163,1973-08-01,329.31
164,1973-09-01,327.51
165,1973-10-01,327.18
166,1973-11-01,328.16
167,1973-12-01,328.64
168,1974-01-01,329.35
169,1974-02-01,330.71
170,1974-03-01,331.48
171,1974-04-01,332.65
172,1974-05-01,333.18
173,1974-06-01,332.2
174,1974-07-01,331.07
175,1974-08-01,329.15
