Year,1YI,2YI,3YI,4YI,5+YI
1984,468341.9189,284171.189,240927.7472,233205.704,812745.0447
1985,427028.9879,329345.1416,241699.9515,215058.9026,911973.2996
1986,553284.3938,237452.8278,259846.753,194981.5903,945950.2896
1987,440928.6656,297684.7646,192278.8752,223553.1501,993440.8551
1988,675678.7783,220850.4349,209267.3702,153668.6593,1070661.287
1989,787648.4044,269113.2048,137066.2664,123552.6909,831277.9483
1990,521237.9147,391121.4871,179537.5039,83398.06634,696914.397
1991,649037.7293,295368.1516,288418.3128,150193.7399,638226.8688
1992,831664.0505,362936.0295,216217.209,189576.1601,573747.8083
1993,519693.506,388032.6698,252510.812,111969.6261,606952.5939
1994,835911.1742,323939.7114,314673.2596,138610.6751,579925.4428
1995,539770.8183,409268.2885,211197.881,147877.1269,535909.7967
1996,1083402.658,260618.9573,279151.861,155213.0679,548265.0658
1997,672203.8588,515832.4844,194981.5903,178765.2996,484172.1074
1998,722011.0373,308495.625,339769.8999,125869.3038,540929.1248
1999,467955.8167,324325.8136,241699.9515,245174.871,572203.3996
2000,759462.9468,224325.3544,213128.3918,159074.0895,613516.3307
2001,852513.5671,402704.5518,178765.2996,149035.4334,575678.3191
2002,467955.8167,379152.3201,276063.0437,141699.4924,544017.942
2003,652126.5466,241313.8494,254055.2206,193823.2838,565639.6629
2004,631663.1321,353669.5776,169112.7456,146332.7183,486874.8225
2005,591122.4054,341700.4107,224711.4565,71042.79726,466025.3059
2006,795756.5497,308109.5229,230502.9889,102317.0721,404635.0626
2007,488033.129,305792.9099,122780.4866,66409.57135,235908.4191
2008,971046.9299,167954.4392,98842.1527,75289.92101,234750.1127
2009,949039.1068,303090.1948,71042.79726,48262.76987,215445.0047
2010,765254.4791,453283.9347,108880.8088,29729.86624,135907.96
2011,744018.8604,382627.2396,231275.1932,27413.25329,85714.6793
2012,526257.2427,269113.2048,105791.9916,72587.20589,41312.93101
2013,995371.3659,333206.1632,155985.2722,55212.60874,69112.28646
2014,797300.9583,413515.4123,167568.337,102703.1743,64865.16271
2015,713516.7898,295368.1516,194595.4881,64479.06055,95753.33543
2016,747107.6777,279537.9631,108880.8088,72973.30805,74903.81885
2017,925486.8751,374905.1964,82625.86203,34363.09215,64092.95839
2018,683400.8214,429731.703,247105.3818,24710.53818,40154.62454
2019,784559.5871,203089.7356,147491.0247,144788.3096,21235.61875
2020,609269.2069,285329.4955,102317.0721,67953.97998,86872.98578
2021,1061008.733,219692.1285,161776.8046,61776.34544,50965.48499
2022,801548.0821,423554.0684,116216.7499,82625.86203,49034.97419
